Time_Index,Freq_245,Freq_410,Freq_610,Freq_1415,Freq_2695,Freq_4995,Freq_8800,Freq_15400
0.0,27.0,42.0,64.0,107.0,147.0,218.0,272.0,516.0
1.0,27.0,41.0,64.0,107.0,147.0,217.0,272.0,517.0
2.0,27.0,41.0,64.0,107.0,147.0,217.0,274.0,521.0
3.0,27.0,41.0,64.0,106.0,147.0,218.0,274.0,522.0
4.0,27.0,41.0,64.0,105.0,147.0,218.0,274.0,524.0
5.0,27.0,41.0,64.0,106.0,148.0,218.0,273.0,522.0
6.0,26.0,41.0,63.0,106.0,148.0,217.0,272.0,523.0
7.0,27.0,41.0,63.0,107.0,149.0,217.0,272.0,520.0
8.0,27.0,41.0,63.0,107.0,149.0,218.0,273.0,519.0
9.0,27.0,41.0,63.0,106.0,149.0,219.0,274.0,520.0
10.0,26.0,41.0,63.0,107.0,149.0,219.0,274.0,523.0
11.0,26.0,41.0,63.0,106.0,150.0,219.0,273.0,519.0
12.0,26.0,41.0,63.0,106.0,150.0,219.0,274.0,520.0
13.0,26.0,42.0,63.0,105.0,150.0,219.0,274.0,518.0
14.0,27.0,42.0,63.0,106.0,150.0,219.0,275.0,517.0
15.0,26.0,43.0,63.0,107.0,150.0,220.0,275.0,519.0
16.0,27.0,43.0,63.0,107.0,151.0,220.0,275.0,518.0
17.0,26.0,42.0,63.0,107.0,150.0,220.0,274.0,517.0
18.0,26.0,42.0,64.0,106.0,150.0,219.0,274.0,519.0
19.0,26.0,42.0,64.0,107.0,147.0,218.0,272.0,517.0
20.0,27.0,42.0,64.0,107.0,147.0,217.0,272.0,516.0
21.0,27.0,41.0,63.0,107.0,146.0,216.0,271.0,518.0
22.0,27.0,41.0,63.0,106.0,146.0,216.0,271.0,516.0
23.0,27.0,41.0,63.0,105.0,145.0,216.0,270.0,514.0
24.0,27.0,41.0,63.0,104.0,146.0,215.0,269.0,510.0
25.0,27.0,41.0,63.0,104.0,145.0,215.0,270.0,508.0
25.0,27.0,41.0,63.0,104.0,145.0,215.0,270.0,508.0
25.0,27.0,41.0,63.0,104.0,145.0,215.0,270.0,508.0
28.0,27.0,41.0,63.0,106.0,145.0,217.0,273.0,526.0
29.0,27.0,40.0,63.0,106.0,146.0,217.0,274.0,525.0
30.0,27.0,40.0,63.0,104.0,146.0,218.0,273.0,524.0
31.0,27.0,40.0,63.0,105.0,147.0,217.0,273.0,520.0
32.0,27.0,40.0,63.0,105.0,148.0,216.0,272.0,515.0
33.0,27.0,40.0,63.0,105.0,149.0,215.0,272.0,512.0
34.0,27.0,40.0,63.0,105.0,148.0,217.0,271.0,512.0
35.0,27.0,40.0,63.0,105.0,149.0,216.0,271.0,511.0
36.0,27.0,40.0,63.0,106.0,147.0,218.0,270.0,512.0
37.0,27.0,40.0,63.0,105.0,147.0,217.0,269.0,510.0
38.0,27.0,40.0,63.0,105.0,146.0,215.0,268.0,511.0
39.0,27.0,40.0,63.0,105.0,144.0,214.0,267.0,513.0
39.0,27.0,40.0,63.0,105.0,144.0,214.0,267.0,513.0
39.0,27.0,40.0,63.0,105.0,144.0,214.0,267.0,513.0
39.0,27.0,40.0,63.0,105.0,144.0,214.0,267.0,513.0
39.0,27.0,40.0,63.0,105.0,144.0,214.0,267.0,513.0
44.0,27.0,40.0,62.0,105.0,144.0,215.0,267.0,510.0
45.0,27.0,40.0,62.0,105.0,145.0,215.0,266.0,507.0
46.0,27.0,40.0,62.0,105.0,145.0,215.0,267.0,507.0
47.0,27.0,40.0,62.0,105.0,146.0,215.0,268.0,508.0
48.0,27.0,40.0,62.0,105.0,148.0,215.0,269.0,513.0
49.0,26.0,40.0,62.0,105.0,148.0,215.0,269.0,514.0
50.0,26.0,40.0,62.0,106.0,147.0,214.0,268.0,514.0
51.0,27.0,40.0,62.0,107.0,147.0,214.0,267.0,508.0
52.0,27.0,40.0,62.0,107.0,146.0,213.0,266.0,505.0
53.0,27.0,40.0,63.0,106.0,144.0,213.0,266.0,502.0
54.0,27.0,40.0,63.0,105.0,144.0,213.0,266.0,503.0
