theta_deg,phi_deg,gain_dBi
0.0,0.0,-1.3205
0.0,5.0,-1.3205
0.0,10.0,-1.3205
0.0,15.0,-1.3205
0.0,20.0,-1.3205
0.0,25.0,-1.3205
0.0,30.0,-1.3205
0.0,35.0,-1.3205
0.0,40.0,-1.3205
0.0,45.0,-1.3205
0.0,50.0,-1.3205
0.0,55.0,-1.3205
0.0,60.0,-1.3205
0.0,65.0,-1.3205
0.0,70.0,-1.3205
0.0,75.0,-1.3205
0.0,80.0,-1.3205
0.0,85.0,-1.3205
0.0,90.0,-1.3205
0.0,95.0,-1.3205
0.0,100.0,-1.3205
0.0,105.0,-1.3205
0.0,110.0,-1.3205
0.0,115.0,-1.3205
0.0,120.0,-1.3205
0.0,125.0,-1.3205
0.0,130.0,-1.3205
0.0,135.0,-1.3205
0.0,140.0,-1.3205
0.0,145.0,-1.3205
0.0,150.0,-1.3205
0.0,155.0,-1.3205
0.0,160.0,-1.3205
0.0,165.0,-1.3205
0.0,170.0,-1.3205
0.0,175.0,-1.3205
0.0,180.0,-1.3205
0.0,185.0,-1.3205
0.0,190.0,-1.3205
0.0,195.0,-1.3205
0.0,200.0,-1.3205
0.0,205.0,-1.3205
0.0,210.0,-1.3205
0.0,215.0,-1.3205
0.0,220.0,-1.3205
0.0,225.0,-1.3205
0.0,230.0,-1.3205
0.0,235.0,-1.3205
0.0,240.0,-1.3205
0.0,245.0,-1.3205
0.0,250.0,-1.3205
0.0,255.0,-1.3205
0.0,260.0,-1.3205
0.0,265.0,-1.3205
0.0,270.0,-1.3205
0.0,275.0,-1.3205
0.0,280.0,-1.3205
0.0,285.0,-1.3205
0.0,290.0,-1.3205
0.0,295.0,-1.3205
0.0,300.0,-1.3205
0.0,305.0,-1.3205
0.0,310.0,-1.3205
0.0,315.0,-1.3205
0.0,320.0,-1.3205
0.0,325.0,-1.3205
0.0,330.0,-1.3205
0.0,335.0,-1.3205
0.0,340.0,-1.3205
0.0,345.0,-1.3205
0.0,350.0,-1.3205
0.0,355.0,-1.3205
0.0,360.0,-1.3205
1.0,0.0,-1.3224
1.0,5.0,-1.2721
1.0,10.0,-1.2225
1.0,15.0,-1.1740
1.0,20.0,-1.1269
1.0,25.0,-1.0814
1.0,30.0,-1.0381
1.0,35.0,-0.9970
1.0,40.0,-0.9586
1.0,45.0,-0.9230
1.0,50.0,-0.8906
1.0,55.0,-0.8615
1.0,60.0,-0.8358
1.0,65.0,-0.8139
1.0,70.0,-0.7957
1.0,75.0,-0.7815
1.0,80.0,-0.7713
1.0,85.0,-0.7651
1.0,90.0,-0.7630
1.0,95.0,-0.7651
1.0,100.0,-0.7713
1.0,105.0,-0.7815
1.0,110.0,-0.7957
1.0,115.0,-0.8139
1.0,120.0,-0.8358
1.0,125.0,-0.8615
1.0,130.0,-0.8906
1.0,135.0,-0.9230
1.0,140.0,-0.9586
1.0,145.0,-0.9970
1.0,150.0,-1.0381
1.0,155.0,-1.0814
1.0,160.0,-1.1269
1.0,165.0,-1.1740
1.0,170.0,-1.2225
1.0,175.0,-1.2721
1.0,180.0,-1.3224
1.0,185.0,-1.3729
